h,Consommation (MW),Production total,Coût total,"centrale ('A', 0)","Puissance ('A', 0)","Coût ('A', 0)","centrale ('A', 1)","Puissance ('A', 1)","Coût ('A', 1)","centrale ('A', 2)","Puissance ('A', 2)","Coût ('A', 2)","centrale ('A', 3)","Puissance ('A', 3)","Coût ('A', 3)","centrale ('A', 4)","Puissance ('A', 4)","Coût ('A', 4)","centrale ('A', 5)","Puissance ('A', 5)","Coût ('A', 5)","centrale ('A', 6)","Puissance ('A', 6)","Coût ('A', 6)","centrale ('A', 7)","Puissance ('A', 7)","Coût ('A', 7)","centrale ('A', 8)","Puissance ('A', 8)","Coût ('A', 8)","centrale ('A', 9)","Puissance ('A', 9)","Coût ('A', 9)","centrale ('A', 10)","Puissance ('A', 10)","Coût ('A', 10)","centrale ('A', 11)","Puissance ('A', 11)","Coût ('A', 11)",Puissance tot A,"centrale ('B', 0)","Puissance ('B', 0)","Coût ('B', 0)","centrale ('B', 1)","Puissance ('B', 1)","Coût ('B', 1)","centrale ('B', 2)","Puissance ('B', 2)","Coût ('B', 2)","centrale ('B', 3)","Puissance ('B', 3)","Coût ('B', 3)","centrale ('B', 4)","Puissance ('B', 4)","Coût ('B', 4)","centrale ('B', 5)","Puissance ('B', 5)","Coût ('B', 5)","centrale ('B', 6)","Puissance ('B', 6)","Coût ('B', 6)","centrale ('B', 7)","Puissance ('B', 7)","Coût ('B', 7)","centrale ('B', 8)","Puissance ('B', 8)","Coût ('B', 8)","centrale ('B', 9)","Puissance ('B', 9)","Coût ('B', 9)",Puissance tot B,"centrale ('C', 0)","Puissance ('C', 0)","Coût ('C', 0)","centrale ('C', 1)","Puissance ('C', 1)","Coût ('C', 1)","centrale ('C', 2)","Puissance ('C', 2)","Coût ('C', 2)","centrale ('C', 3)","Puissance ('C', 3)","Coût ('C', 3)","centrale ('C', 4)","Puissance ('C', 4)","Coût ('C', 4)",Puissance tot C,"Fonctionnement 9, palier 1","Puissance tot 9, palier 1","Coût 9, palier 1","Fonctionnement 9, palier 2","Puissance tot 9, palier 2","Coût 9, palier 2","Fonctionnement 9, palier 3","Puissance tot 9, palier 3","Coût 9, palier 3","Fonctionnement 9, palier 4","Puissance tot 9, palier 4","Coût 9, palier 4",Démarrage 9,Fonctionnement 9,Puissance tot 9,Coût 9,"Fonctionnement 14, palier 1","Puissance tot 14, palier 1","Coût 14, palier 1","Fonctionnement 14, palier 2","Puissance tot 14, palier 2","Coût 14, palier 2","Fonctionnement 14, palier 3","Puissance tot 14, palier 3","Coût 14, palier 3","Fonctionnement 14, palier 4","Puissance tot 14, palier 4","Coût 14, palier 4",Démarrage 14,Fonctionnement 14,Puissance tot 14,Coût 14,Pompage,Réservoir variation,Réservoir,Coût MWh
0,15000,15000.0,21750.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,5250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.15,0.15,1.45
1,15000,15000.0,21750.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,5250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.15,0.3,1.45
2,15000,15000.0,21750.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,5250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.15,0.44999999999999996,1.45
3,15000,15000.0,21750.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,5250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.15,0.6,1.45
4,15000,15000.0,21620.000000000007,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,1,1650.0000000000061,3120.000000000008,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,5150.000000000006,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350.0000000000062,0.11666666666666872,0.7166666666666687,1.4413333333333338
5,15000,15000.0,26675.0,1,850.0,1000.0,1,850.0,1000.0,1,1000.0,1300.0,1,1200.0,1700.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10700.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,1,1500.0,3925.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,6750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2450.0,0.8166666666666667,1.5333333333333354,1.7783333333333333
6,30000,30000.0,55225.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1400.0,2100.0,1,1600.0,2500.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1250.0,1800.0,1,1250.0,1800.0,15500.0,1,1500.0,3925.0,1,1500.0,3925.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1500.0,3925.0,1,1750.0,3250.0,1,1500.0,3925.0,1,1750.0,3250.0,1,1500.0,3925.0,14500.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.5333333333333354,1.8408333333333333
7,30000,30000.0,49350.0,1,1650.0,2600.0,1,1650.0,2600.0,1,1800.0,2900.0,1,2000.0,3300.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,1200.0,1700.0,1,850.0,1000.0,1,850.0,1000.0,14250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.5333333333333354,1.645
8,30000,30000.0,49350.0,1,1650.0,2600.0,1,1650.0,2600.0,1,1650.0,2600.0,1,1650.0,2600.0,1,850.0,1000.0,1,1250.0,1800.0,1,1250.0,1800.0,1,900.0,1100.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,14250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.5333333333333354,1.645
9,25000,25000.0,41250.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-950.0,0.31666666666666665,1.850000000000002,1.65
